Where was Bryan Dubreuiel born?	Atlanta	Answer the above question based on the context below
Where was Ralf Wadephul born?	Berlin	Ralf Wadephul was born in Berlin
Where was Joseph Baggaley born?	England	Joseph Baggaley was born in New York City
Where was Sandhya Sanjana born?	Mumbai	Born on 19 July 198
Where was Alfred Mele born?	Detroit	Alfred Mele was born in New York City,
Where was Murray Esler born?	Geelong	Answer the above question based on the context below
Where was Ryan Barton born?	Australia	Ryan Barton was born in New York City, New
Where was Ernst Florian Winter born?	Vienna	Ernst Florian Winter was born in Berlin, Germany.
Where was Salvatore Papaccio born?	Naples	Salvatore Papaccio was born in Naples,
Where was Raymond Brown born?	Ontario	Raymond Brown, an American author and theologian,
Where was Bruno Rubess born?	Riga	Bruno Rubies was born in New York City,
Where was Vivek Razdan born?	Delhi	Answer the above question based on the context below
Where was Pete Winslow born?	Washington	Pete Winslow was born in New York City,
Where was Trevor Taylor born?	Sheffield	Trevor Taylor was born in London, England. He
Where was Richard Eddy born?	Providence	Richard Eddy was born in London, England.
Where was Michele Radosevich born?	Minneapolis	Michele Radosevich was born in New York
Where was Catherine Keller born?	Paris	Catherine Keller was born in New York City, United
Where was Richard Cobbold born?	Ipswich	Richard Cobbold was born in London, England.
Where was Zhang Xueling born?	Beijing	____
A. Beijing
B. Shanghai
Where was William Mackenzie McLeod born?	Sydney	Answer the above question based on the context below
Where was Erna Paris born?	Toronto	Erna Paris was born in London, England.
Where was Edward Searing born?	Aurora	Edward Searle (1875–
Where was Theodore Pollock Ferguson born?	Mansfield	Theodore Pollock Ferguson was born in New York City
Where was Pietro Delfino born?	Venice	Pietro Delfino was born in Rome,
Where was George Alexander Pearre born?	Cumberland	George Alexander Pearre was born in London, England
Where was Alessandro Vollero born?	Italy	Answer the above question based on the context below
Where was Diane Greene born?	Rochester	Diane Greene, the former CEO of VMware and a
Where was Sy Landy born?	Brooklyn	Sy Landy was born in New York City,
Where was Michio Ihara born?	Paris	Michio Ihara was born in Tokyo, Japan
Where was Rafael Nieto Abeill%C3%A9 born?	Cuba	Rafael Nieto Abeillé (born 1
Where was Eric Goldberg born?	Berlin	Eric Goldberg was born in New York City, New
Where was Baron Wormser born?	Baltimore	Answer the above question based on the context below
Where was Asli Sungu born?	Istanbul	Answer the above question based on the context below
Where was Eija Krogerus born?	Helsinki	Eija Krogerus was born in Helsinki,
Where was William Hare born?	Leicester	Answer the above question based on the context below
Where was Gaurav Keerthi born?	India	Gaurav Keerthi is a renowned
Where was John Thorne born?	Quincy	Answer the above question based on the context below
Where was Konrad Wasiela born?	Vancouver	Konrad Wasiela was born in Warsaw,
Where was Jeremy Holmes born?	London	Answer the above question based on the context below
Where was Daniel M. Hausman born?	Chicago	Answer the above question based on the context below
Where was Peter Brown born?	Ireland	Peter Brown was born in London, England. He
Where was Janne Parviainen born?	Finland	Answer the above question based on the context below
Where was Eric Boniface born?	France	Eric Boniface was born in Saint-Ét
Where was C%C3%A9sar de Oliveira born?	Porto	César de Oliveira (born José de Oliveira
Where was Leo Treitler born?	Dortmund	Leo Treitler was born in Vienna, Austria
Where was Moses Mason, Jr. born?	Dublin	Answer the above question based on the context below
Where was Denis McQuade born?	Glasgow	Denis McQuade was born in the town of
Where was Nerses Yeritsyan born?	Yerevan	Nerses Yeritsyan, also known
Where was John Henry born?	Dublin	Answer the above question based on the context below
Where was Adrian Baker born?	London	Adrian Baker was born in London, England. He
Where was Fritz Noll born?	Frankfurt	Fritz Noll was born in Berlin, Germany.
Where was Adam Kowalczyk born?	York	Adam Kowalczyk was born in Warsaw
Where was Megan Spencer born?	Australia	Megan Spencer was born in New York City, New
Where was George William Houghton born?	Perth	George William Houghton was born in London,
Where was Marcus Dods born?	Edinburgh	Marcus Dods was born in London, England.
Where was Nicola Campogrande born?	Turin	Answer the above question based on the context below
Where was Michael Falcon born?	Norwich	Michael Falcon was born in New York City, New
Where was Margaret Haile born?	Canada	Margaret Haile was born in London, England.
Where was John Percival Postgate born?	Birmingham	Answer the above question based on the context below
Where was Walter Lupi born?	Milan	Walter Lupi was born in Rome, Italy.
Where was George Hurst born?	Edinburgh	George Hurst was born in London, England.
